county,state,pop_2010,pop_2018,pct_chg
Webb,Texas,251391,275910,9.75
Routt,Colorado,23448,25733,9.74
Brevard,Florida,543972,596849,9.72
Granite,Montana,3080,3378,9.68
La Plata,Colorado,51343,56310,9.67
Lubbock,Texas,280304,307412,9.67
Fannin,Georgia,23676,25964,9.66
San Francisco,California,805550,883305,9.65
Sandoval,New Mexico,132430,145179,9.63
Skagit,Washington,116954,128206,9.62
Yolo,California,201083,220408,9.61
Douglas,Georgia,132595,145331,9.61
Sanpete,Utah,27939,30623,9.61
Albemarle,Virginia,99196,108718,9.6
Kent,Delaware,162955,178550,9.57
Cleveland,Oklahoma,257079,281669,9.57
Bulloch,Georgia,70562,77296,9.54
San Joaquin,California,687156,752660,9.53
Martin,Florida,146916,160912,9.53
Box Elder,Utah,50170,54950,9.53
Johnson,Kansas,545665,597555,9.51
Bay,Florida,169205,185287,9.5
Lincoln,Missouri,52702,57686,9.46
Faulkner,Arkansas,114031,124806,9.45
Story,Iowa,89654,98105,9.43
Yoakum,Texas,7851,8591,9.43
Smith,Texas,210408,230221,9.42
Crane,Texas,4382,4794,9.4
Newton,Georgia,100154,109541,9.37
Bonner,Idaho,40908,44727,9.34
Douglas,Nebraska,518570,566880,9.32
Contra Costa,California,1052559,1150215,9.28
Rich,Utah,2255,2464,9.27
DeKalb,Georgia,692471,756558,9.25
Lafayette Parish,Louisiana,222264,242782,9.23
Henderson,North Carolina,106887,116748,9.23
Douglas,Kansas,111195,121436,9.21
Jefferson,Iowa,16836,18381,9.18
Frederick,Maryland,234204,255648,9.16
Spotsylvania,Virginia,122971,134238,9.16
Uintah,Utah,32469,35438,9.14
Hennepin,Minnesota,1154192,1259428,9.12
Macon,Tennessee,22237,24265,9.12
Orange,Virginia,33580,36644,9.12
Menominee,Wisconsin,4269,4658,9.11
Wagoner,Oklahoma,73426,80110,9.1
Fayette,Kentucky,296847,323780,9.07
Ward,North Dakota,62119,67744,9.06
Madison,Alabama,336093,366519,9.05
Alachua,Florida,247613,269956,9.02
Spokane,Washington,472089,514631,9.01
Wright,Minnesota,125095,136349,9
Guilford,North Carolina,489589,533670,9
Orange,North Carolina,133986,146027,8.99
Boise,Idaho,7006,7634,8.96
Linn,Oregon,116887,127335,8.94
Loudon,Tennessee,48700,53054,8.94
Winkler,Texas,7087,7720,8.93
La Salle,Texas,6914,7531,8.92
Manassas city,Virginia,38232,41641,8.92
Sevier,Tennessee,89921,97892,8.86
Bullitt,Kentucky,74499,81069,8.82
Chatham,Georgia,265792,289195,8.81
Gilmer,Georgia,28321,30816,8.81
Bedford,Tennessee,45077,49038,8.79
Warren,Ohio,213451,232173,8.77
Lumpkin,Georgia,30309,32955,8.73
Hancock,Indiana,70229,76351,8.72
Lynchburg city,Virginia,75551,82126,8.7
Grant,Washington,89569,97331,8.67
Putnam,Tennessee,72558,78843,8.66
Fairfax city,Virginia,22615,24574,8.66
Marion,Florida,331340,359977,8.64
Boundary,Idaho,10999,11948,8.63
Williamsburg city,Virginia,13716,14896,8.6
Pickens,Georgia,29457,31980,8.57
Chesapeake city,Virginia,223550,242634,8.54
Buncombe,North Carolina,238737,259103,8.53
Missoula,Montana,109466,118791,8.52
San Juan,Washington,15784,17128,8.51
Klickitat,Washington,20376,22107,8.5
Beadle,South Dakota,17406,18883,8.49
Santa Clara,California,1786079,1937570,8.48
Washington,Minnesota,238936,259201,8.48
San Jacinto,Texas,26474,28719,8.48
Costilla,Colorado,3529,3828,8.47
Ouray,Colorado,4456,4833,8.46
Livingston Parish,Louisiana,128679,139567,8.46
Jackson,South Dakota,3049,3307,8.46
Clarke,Georgia,117410,127330,8.45
Hawaii,Hawaii,185358,200983,8.43
Kent,Michigan,602983,653786,8.43
Sacramento,California,1421414,1540975,8.41
Russell,Alabama,53307,57781,8.39
Teton,Wyoming,21297,23081,8.38
Jefferson,Colorado,535833,580233,8.29
Sherburne,Minnesota,88798,96036,8.15
Clay,Minnesota,59145,63955,8.13
Olmsted,Minnesota,144526,156277,8.13
Gaston,North Carolina,206105,222846,8.12
Bossier Parish,Louisiana,117669,127185,8.09
Lewis and Clark,Montana,63575,68700,8.06
Broadwater,Montana,5632,6085,8.04
Hamilton,Tennessee,337221,364286,8.03
Ramsey,Minnesota,509389,550210,8.01
Rankin,Mississippi,142517,153902,7.99
Fauquier,Virginia,65447,70675,7.99
Jackson,Oregon,203343,219564,7.98
Yellowstone,Montana,148388,160137,7.92
McLennan,Texas,235917,254607,7.92
Solano,California,413944,446610,7.89
Forsyth,North Carolina,351393,379099,7.88
Yuba,California,72350,78041,7.87
Maui,Hawaii,155006,167207,7.87
Lane,Oregon,351923,379611,7.87
Mason,Washington,60735,65507,7.86
Webster,Missouri,36263,39109,7.85
Montgomery,Maryland,976287,1052567,7.81
Union,South Dakota,14492,15619,7.78
Waynesboro city,Virginia,20994,22628,7.78
Lea,New Mexico,64599,69611,7.76
Yamhill,Oregon,99300,107002,7.76
DeKalb,Tennessee,18690,20138,7.75
San Diego,California,3103306,3343364,7.74
Latah,Idaho,37254,40134,7.73
Bartholomew,Indiana,76820,82753,7.72
Lake,Colorado,7264,7824,7.71
Bradley,Tennessee,99086,106727,7.71
Gillespie,Texas,24887,26804,7.7
Love,Oklahoma,9412,10134,7.67
McHenry,North Dakota,5402,5816,7.66
Benton,Oregon,85574,92101,7.63
Yuma,Arizona,197138,212128,7.6
Taney,Missouri,51910,55852,7.59
Dickson,Tennessee,49685,53446,7.57
Wood,Texas,41981,45129,7.5
Suffolk city,Virginia,84823,91185,7.5
Winchester city,Virginia,26150,28108,7.49
Richland,South Carolina,385757,414576,7.47
Knox,Tennessee,432947,465289,7.47
Buffalo,Nebraska,46174,49615,7.45
Caroline,Virginia,28641,30772,7.44
Eddy,New Mexico,53901,57900,7.42
Greene,Arkansas,42200,45325,7.41
Dare,North Carolina,33982,36501,7.41
Maverick,Texas,54448,58485,7.41
Lampasas,Texas,19766,21229,7.4
Gilchrist,Florida,16999,18256,7.39
Franklin,Idaho,12781,13726,7.39
Hancock,Mississippi,44081,47334,7.38
Lincoln,Wyoming,18098,19434,7.38
Lincoln,Oregon,46000,49388,7.37
Jackson,North Carolina,40357,43327,7.36
Hanover,Virginia,99899,107239,7.35
Island,Washington,78690,84460,7.33
DeSoto,Florida,34933,37489,7.32
Kauai,Hawaii,67213,72133,7.32
Washtenaw,Michigan,345658,370963,7.32
Clallam,Washington,71509,76737,7.31
Laramie,Wyoming,92235,98976,7.31
Park,Montana,15600,16736,7.28
Skamania,Washington,11115,11924,7.28
Adams,Idaho,3962,4250,7.27
Brown,South Dakota,36652,39316,7.27
Lincoln,North Carolina,78104,83770,7.25
Lyon,Nevada,52043,55808,7.23
Harris,Georgia,32153,34475,7.22
Clatsop,Oregon,37086,39764,7.22
Kitsap,Washington,251676,269805,7.2
Lonoke,Arkansas,68720,73657,7.18
Tulsa,Oklahoma,605008,648360,7.17
Greene,Virginia,18458,19779,7.16
Anderson,South Carolina,187109,200482,7.15
Tuscaloosa,Alabama,194996,208911,7.14
Henrico,Virginia,307307,329261,7.14
Middlesex,Massachusetts,1507693,1614714,7.1
George,Mississippi,22649,24250,7.07
Ravalli,Montana,40325,43172,7.06
Duchesne,Utah,18647,19964,7.06
Robertson,Tennessee,66333,71012,7.05
Merced,California,256732,274765,7.02
Camden,North Carolina,10009,10710,7
Jerome,Idaho,22454,24015,6.95
San Mateo,California,719725,769545,6.92
Goochland,Virginia,21746,23244,6.89
Teller,Colorado,23469,25083,6.88
Highlands,Florida,98634,105424,6.88
Elko,Nevada,49085,52460,6.88
Kane,Utah,7213,7709,6.88
Glynn,Georgia,79739,85219,6.87
Simpson,Kentucky,17339,18529,6.86
Prince George,Virginia,35644,38082,6.84
Anne Arundel,Maryland,539277,576031,6.82
Tom Green,Texas,110678,118189,6.79
Anoka,Minnesota,331436,353813,6.75
Carroll,Georgia,110667,118121,6.74
Stanislaus,California,515165,549815,6.73
Mason,Texas,4010,4280,6.73
Carter,Montana,1160,1238,6.72
Linn,Iowa,211697,225909,6.71
Dallam,Texas,6748,7200,6.7
Fresno,California,932063,994400,6.69
Burleson,Texas,17236,18389,6.69
Warren,Virginia,37502,40003,6.67
Glades,Florida,12870,13724,6.64
Todd,South Dakota,9643,10283,6.64
Bethel Census Area,Alaska,17085,18216,6.62
Kern,California,841072,896764,6.62
Blount,Tennessee,123199,131349,6.62
Bath,Kentucky,11616,12383,6.6
Cumberland,Pennsylvania,235902,251423,6.58
Dakota,Minnesota,399206,425423,6.57
Garfield,Colorado,56092,59770,6.56
Grimes,Texas,26615,28360,6.56
Warren,Missouri,32578,34711,6.55
Pitt,North Carolina,168853,179914,6.55
Burke,North Dakota,1971,2100,6.54
St. Mary's,Maryland,105762,112664,6.53
Hendry,Florida,39013,41556,6.52
Van Zandt,Texas,52589,56019,6.52
Cowlitz,Washington,102357,108987,6.48
Carbon,Montana,10063,10714,6.47
Nueces,Texas,340253,362265,6.47
Grand Traverse,Michigan,86971,92573,6.44
Pinellas,Florida,916424,975280,6.42
Fairfield,Ohio,146399,155782,6.41
San Bernardino,California,2040910,2171603,6.4
