"mu","phi","sigma"
0.007550977,0.932673966,0.007944181
0.01381916,0.983556059,0.008744467
0.005070094,0.998735154,0.005487255
0.009059545,0.564330436,0.007465916
0.01773988,0.5560008,0.006230728
0.01239546,0.525518289,0.007734489
0.01017975,0.448852803,0.008076528
0.01396493,0.921069272,0.00637536
0.01030581,0.649312469,0.005826325
0.01182312,0.233133365,0.005119108
0.01441795,0.500397226,0.005261816
0.014041,0.288022141,0.006704872
0.0104953,0.547364142,0.006886675
0.02029847,0.462072107,0.004731917
0.0105406,0.929609656,0.009644595
0.01728296,0.806226897,0.009622031
0.01010026,0.837070406,0.00633974
0.00663613,0.560132849,0.00443929
0.01456872,0.218687488,0.004806577
0.01564836,0.208101636,0.008066632
0.01084093,0.472342464,0.008162105
0.01285545,0.433041569,0.005806712
0.01278891,0.499341387,0.010140138
0.01645676,0.482151252,0.005234087
0.01114505,0.454038752,0.008308011
0.01498503,0.601932764,0.008591742
0.02341409,0.684728479,0.007441508
0.01475878,0.410406812,0.0051265
0.01680375,0.327056436,0.004767432
0.003214717,0.953573475,0.009313676
0.002428504,0.928787808,0.007740897
0.006619178,0.905995665,0.00672139
0.01711296,0.098190239,0.00657254
0.01106889,0.48756024,0.00628008
0.00621639,0.974800904,0.006524561
0.01882032,0.885689173,0.00722634
0.01048796,0.301200999,0.009612508
0.01665982,0.525427873,0.007024421
0.004592523,0.711545602,0.008730762
0.0037946,0.810698456,0.006278061
0.01449932,0.751436143,0.007203857
0.003561414,0.795551931,0.005892706
0.007952907,0.876623363,0.005781324
0.01492894,0.277484043,0.00504738
0.01294569,0.957130347,0.009148166
0.007690789,0.917589875,0.008312832
0.01542545,0.511643842,0.005339776
0.01280808,0.175916136,0.014079178
0.01755302,0.895653575,0.005896784
0.02117736,0.823876538,0.007561225
0.007820505,0.743353837,0.009113858
0.01036205,0.665533121,0.006364341
0.01422233,0.086161989,0.005129881
0.00742934,0.588262447,0.008557331
0.01178694,0.607316316,0.006218275
0.01703321,0.69367263,0.007856151
0.0002508438,0.976985278,0.007932768
0.01694516,0.353688062,0.004669757
0.01185516,0.380217581,0.007762794
